time(s);battery;obc;eps;communication;sdatf;slp;smdh
233;2,3058834;On;On;Receiver;Off;Off;Off
234;2,30538;On;On;Receiver;Off;Off;Off
235;2,3048766;On;On;Receiver;Off;Off;Off
236;2,3043733;On;On;Receiver;Off;Off;Off
237;2,30387;On;On;Receiver;Off;Off;Off
238;2,3033667;On;On;Receiver;Off;Off;Off
239;2,3028634;On;On;Receiver;Off;Off;Off
240;2,30236;On;On;Receiver;Off;Off;Off
241;2,3018568;On;On;Receiver;Off;Off;Off
242;2,3013532;On;On;Receiver;Off;Off;Off
243;2,30085;On;On;Receiver;Off;Off;Off
244;2,3003466;On;On;Receiver;Off;Off;Off
245;2,2998433;On;On;Receiver;Off;Off;Off
246;2,29934;On;On;Receiver;Off;Off;Off
247;2,2988367;On;On;Receiver;Off;Off;Off
248;2,2983334;On;On;Receiver;Off;Off;Off
249;2,29783;On;On;Receiver;Off;Off;Off
250;2,2973266;On;On;Receiver;Off;Off;Off
251;2,2968233;On;On;Receiver;Off;Off;Off
252;2,29632;On;On;Receiver;Off;Off;Off
253;2,2958167;On;On;Receiver;Off;Off;Off
254;2,2953134;On;On;Receiver;Off;Off;Off
255;2,29481;On;On;Receiver;Off;Off;Off
256;2,2943068;On;On;Receiver;Off;Off;Off
257;2,2938032;On;On;Receiver;Off;Off;Off
258;2,2933;On;On;Receiver;Off;Off;Off
259;2,2927966;On;On;Receiver;Off;Off;Off
260;2,2922933;On;On;Receiver;Off;Off;Off
261;2,29179;On;On;Receiver;Off;Off;Off
262;2,2912867;On;On;Receiver;Off;Off;Off
263;2,2907834;On;On;Receiver;Off;Off;Off
264;2,29028;On;On;Receiver;Off;Off;Off
265;2,2897766;On;On;Receiver;Off;Off;Off
266;2,2892733;On;On;Receiver;Off;Off;Off
267;2,28877;On;On;Receiver;Off;Off;Off
268;2,2882667;On;On;Receiver;Off;Off;Off
269;2,2877634;On;On;Receiver;Off;Off;Off
270;2,28726;On;On;Receiver;Off;Off;Off
271;2,2867568;On;On;Receiver;Off;Off;Off
272;2,2862535;On;On;Receiver;Off;Off;Off
273;2,28575;On;On;Receiver;Off;Off;Off
274;2,2852466;On;On;Receiver;Off;Off;Off
275;2,2847433;On;On;Receiver;Off;Off;Off
276;2,28424;On;On;Receiver;Off;Off;Off
277;2,2837367;On;On;Receiver;Off;Off;Off
278;2,2832334;On;On;Receiver;Off;Off;Off
279;2,28273;On;On;Receiver;Off;Off;Off
280;2,2822266;On;On;Receiver;Off;Off;Off
281;2,2817233;On;On;Receiver;Off;Off;Off
282;2,28122;On;On;Receiver;Off;Off;Off
283;2,2807167;On;On;Receiver;Off;Off;Off
284;2,2802134;On;On;Receiver;Off;Off;Off
285;2,27971;On;On;Receiver;Off;Off;Off
286;2,2792068;On;On;Receiver;Off;Off;Off
287;2,2787035;On;On;Receiver;Off;Off;Off
288;2,2782;On;On;Receiver;Off;Off;Off
289;2,2776966;On;On;Receiver;Off;Off;Off
290;2,2771933;On;On;Receiver;Off;Off;Off
291;2,27669;On;On;Receiver;Off;Off;Off
292;2,2761867;On;On;Receiver;Off;Off;Off
293;2,2756834;On;On;Receiver;Off;Off;Off
294;2,27518;On;On;Receiver;Off;Off;Off
295;2,2746766;On;On;Receiver;Off;Off;Off
296;2,2741733;On;On;Receiver;Off;Off;Off
297;2,27367;On;On;Receiver;Off;Off;Off
298;2,2731667;On;On;Receiver;Off;Off;Off
299;2,2726634;On;On;Receiver;Off;Off;Off
300;2,27216;On;On;Receiver;Off;Off;Off
301;2,2716568;On;On;Receiver;Off;Off;Off
302;2,2711535;On;On;Receiver;Off;Off;Off
303;2,27065;On;On;Receiver;Off;Off;Off
304;2,2701466;On;On;Receiver;Off;Off;Off
305;2,2696433;On;On;Receiver;Off;Off;Off
306;2,26914;On;On;Receiver;Off;Off;Off
307;2,2686367;On;On;Receiver;Off;Off;Off
308;2,2681334;On;On;Receiver;Off;Off;Off
309;2,26763;On;On;Receiver;Off;Off;Off
310;2,2671266;On;On;Receiver;Off;Off;Off
311;2,2666233;On;On;Receiver;Off;Off;Off
312;2,26612;On;On;Receiver;Off;Off;Off
313;2,2656167;On;On;Receiver;Off;Off;Off
314;2,2651134;On;On;Receiver;Off;Off;Off
315;2,26461;On;On;Receiver;Off;Off;Off
316;2,2641068;On;On;Receiver;Off;Off;Off
317;2,2636034;On;On;Receiver;Off;Off;Off
318;2,2631;On;On;Receiver;Off;Off;Off
319;2,2625966;On;On;Receiver;Off;Off;Off
320;2,2620933;On;On;Receiver;Off;Off;Off
321;2,26159;On;On;Receiver;Off;Off;Off
322;2,2610867;On;On;Receiver;Off;Off;Off
323;2,2605834;On;On;Receiver;Off;Off;Off
324;2,26008;On;On;Receiver;Off;Off;Off
325;2,2595766;On;On;Receiver;Off;Off;Off
326;2,2590733;On;On;Receiver;Off;Off;Off
327;2,25857;On;On;Receiver;Off;Off;Off
328;2,2580667;On;On;Receiver;Off;Off;Off
329;2,2575634;On;On;Receiver;Off;Off;Off
330;2,25706;On;On;Receiver;Off;Off;Off
