time(s);battery;orbit;obc;eps;communication;sdatf;slp;smdh;total_drop
210;19,191044;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
211;19,19081;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
212;19,190575;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
213;19,190342;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
214;19,190107;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
215;19,189875;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
216;19,18964;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
217;19,189405;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
218;19,189173;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
219;19,188938;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
220;19,188704;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
221;19,18847;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
222;19,188236;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
223;19,188004;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
224;19,187769;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
225;19,187534;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
226;19,187302;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
227;19,187067;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
228;19,186832;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
229;19,1866;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
230;19,186365;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
231;19,186132;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
232;19,185898;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
233;19,185663;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
234;19,18543;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
235;19,185196;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
236;19,184961;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
237;19,184729;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
238;19,184494;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
239;19,184261;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
240;19,184027;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
241;19,183792;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
242;19,18356;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
243;19,183325;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
244;19,18309;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
245;19,182858;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
246;19,182623;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
247;19,18239;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
248;19,182156;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
249;19,181921;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
250;19,181688;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
251;19,181454;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
252;19,18122;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
253;19,180986;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
254;19,180752;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
255;19,18052;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
256;19,180285;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
257;19,18005;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
258;19,179817;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
259;19,179583;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
260;19,179348;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
261;19,179115;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
262;19,17888;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
263;19,178648;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
264;19,178413;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
265;19,178179;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
266;19,177946;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
267;19,177711;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
268;19,177477;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
269;19,177244;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
270;19,17701;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
271;19,176777;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
272;19,176542;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
273;19,176308;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
274;19,176075;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
275;19,17584;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
276;19,175606;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
277;19,175373;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
278;19,175138;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
279;19,174906;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
280;19,174671;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
281;19,174437;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
282;19,174204;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
283;19,17397;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
284;19,173735;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
285;19,173502;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
286;19,173267;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
287;19,173035;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
288;19,1728;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
289;19,172565;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
290;19,172333;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
291;19,172098;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
292;19,171864;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
293;19,17163;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
294;19,171396;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
295;19,171164;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
296;19,170929;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
297;19,170694;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
298;19,170462;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
299;19,170227;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
300;19,169992;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
301;19,16976;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
302;19,169525;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
303;19,169292;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
304;19,169058;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
305;19,168823;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
306;19,16859;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
307;19,168356;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
308;19,168121;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
309;19,167889;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
310;19,167654;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
311;19,167421;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
312;19,167187;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
313;19,166952;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
314;19,16672;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
315;19,166485;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
316;19,16625;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
317;19,166018;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
318;19,165783;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
319;19,16555;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
320;19,165316;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
321;19,165081;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
322;19,164848;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
323;19,164614;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
324;19,16438;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
325;19,164146;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
326;19,163912;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
327;19,16368;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
328;19,163445;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
329;19,16321;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
330;19,162977;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
331;19,162743;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
332;19,162508;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
333;19,162275;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
334;19,16204;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
335;19,161808;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
336;19,161573;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
337;19,161339;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
338;19,161106;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
339;19,160872;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
340;19,160637;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
341;19,160404;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
342;19,16017;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
343;19,159937;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
344;19,159702;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
345;19,159468;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
346;19,159235;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
347;19,159;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
348;19,158766;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
349;19,158533;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
350;19,158298;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
351;19,158066;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
352;19,157831;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
353;19,157597;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
354;19,157364;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
355;19,15713;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
356;19,156895;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
357;19,156662;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
358;19,156427;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
359;19,156195;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
360;19,15596;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
361;19,155725;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
362;19,155493;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
363;19,155258;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
364;19,155024;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
365;19,15479;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
